plant_id,common_name,problem,possible_cause,confidence_score,recommended_action_1,recommended_action_2,recommended_action_3,emergency_action,"recovery_action
",expected_recovery_days,expert_notes
1,Money Plant,Yellow leaves on lower/older part of plant,Overwatering (most likely) / natural aging / insufficient light,0.85,Check soil moisture — if wet allow to dry completely before next watering,Move plant to brighter indirect light location,Remove yellow leaves with clean scissors to redirect plant energy,If stem base is mushy — remove from pot immediately inspect roots and cut off all brown/black roots before repotting in fresh dry mix,Resume normal watering schedule only after soil has dried to 40% moisture; feed with balanced liquid fertilizer at half strength after 2 weeks,14-21,
1,Money Plant,Brown crispy leaf tips and edges,Low humidity / underwatering / direct sun exposure,0.8,Move plant away from direct sunlight to bright indirect light,Increase humidity by misting leaves or placing a water tray with pebbles nearby,Check soil and water if dry — allow water to drain completely,If extensive browning covers more than 50% of leaves — cut back affected leaves and relocate plant immediately to a more suitable spot,Maintain consistent watering schedule; keep humidity above 50%; avoid cold drafts from AC or fans,7-14,
1,Money Plant,Mushy black stem base,Root rot from severe overwatering (very likely),0.95,Remove plant from pot immediately,Trim all brown/black mushy roots with sterile scissors leaving only white/cream firm healthy roots,Repot in fresh well-draining dry potting mix in a pot with drainage holes,If more than 80% of roots are rotten — take a healthy stem cutting with node and propagate as new plant,Keep in bright indirect light; do not water for 7-10 days after repotting; resume very light watering only when top 2 inches of soil are dry,21-45,
2,Monstera,New leaves have no holes or fenestrations,Insufficient light (most likely) / plant too young / low humidity,0.8,Move plant to a brighter location with more indirect light — aim for 2000-5000 lux minimum,Provide a moss pole or trellis support to encourage climbing growth which triggers fenestration,Increase humidity above 60% using a humidifier or pebble tray,If plant has been in low light for months — gradually increase light exposure over 2-3 weeks to avoid light shock,Maintain consistent bright indirect light; once adequate light is restored new leaves will develop fenestrations naturally,30-60,
2,Monstera,Yellow leaves with mushy stem base,Root rot from overwatering (very likely),0.92,Remove from pot and inspect roots immediately,Cut all brown/black mushy roots with sterile scissors, dust cut ends with cinnamon (natural antifungal),Repot in fresh well-draining potting mix with added perlite in a pot with drainage holes,Keep in bright indirect light; do not water for 10-14 days after repotting; resume watering only when top 2 inches of soil feel dry,21-45,
2,Monstera,Brown crispy leaf edges,Low humidity / underwatering / cold drafts,0.78,Increase humidity above 60% using a humidifier or pebble tray,Check soil and water thoroughly if dry,Move plant away from AC vents / cold windows / drafts,If browning is spreading rapidly across multiple leaves — check for spider mites (fine webbing on leaf undersides) and treat with neem oil if found,Trim brown edges with clean scissors; maintain consistent humidity and watering routine,10-21,
3,Rubber Plant,Sudden leaf drop (multiple leaves at once),Relocation stress / cold draft / root rot / overwatering,0.85,Do not move the plant again — keep in current stable location,Check soil moisture — if wet allow to dry completely,Move away from AC vents / cold windows / doors,If stem base is mushy — treat as root rot emergency: remove from pot inspect roots repot in fresh dry mix immediately,Keep in stable warm bright indirect light; do not fertilize for 4 weeks; resume very light watering only when top 2 inches are dry,21-45,
3,Rubber Plant,Leaves losing shine and turning dull,Dust accumulation on leaf surface / low humidity / insufficient light,0.75,Wipe each leaf gently with a damp soft cloth to remove dust — do this monthly,Move to brighter indirect light location,Increase humidity slightly,If leaves are yellowing in addition to dullness — check for root rot or overwatering,After cleaning maintain monthly leaf wiping routine; large glossy leaves of Rubber Plant are very prone to dust accumulation which blocks light absorption,5-10,
4,Dieffenbachia,Leaves wilting and drooping despite moist soil,Root rot (likely) / pot-bound roots / bacterial stem rot,0.82,Gently remove from pot and inspect roots — healthy roots are white/cream, rotten roots are brown/black and mushy,Trim all rotten roots with sterile scissors, dust with cinnamon powder,Keep in moderate indirect light; do not water for 7-10 days after repotting; resume very careful light watering only when top inch of soil is dry,14-30,
4,Dieffenbachia,Yellow-brown water-soaked spots on leaves spreading rapidly,Bacterial leaf blight (Erwinia or Xanthomonas — likely),0.78,Remove and destroy all affected leaves immediately — do not compost,Apply copper-based fungicide/bactericide spray to remaining healthy leaves,Improve air circulation around plant — move away from crowded area,If more than 50% of leaves are affected and spots are spreading to stem — discard entire plant to prevent spread to other plants,After removing affected material keep plant in good air circulation; avoid wetting foliage during watering; apply copper spray preventively every 14 days for 6 weeks,14-28,
