plant_id,common_name,root_type,root_growth_speed,root_depth,root_spread,rooting_indicator_1,rooting_indicator_2,rooting_indicator_3,successful_rooting_signs,failed_rooting_signs,root_rot_sensitivity,oxygen_requirement,root_development_notes
1,Money Plant,Fibrous / Aerial roots,Fast,Shallow (20-40 cm),Moderate (30-60 cm),White root nubs visible at nodes within 7-10 days in water,New leaf growth emerging from cutting,Resistance felt when gently tugging the cutting,White healthy roots 2-5 cm long visible; new leaves emerging,Stem turning brown/black/mushy at cut end; leaves yellowing and dropping,Moderate,Moderate,Aerial roots at nodes are pre-formed and speed up rooting dramatically; always include a node with aerial root for fastest results
2,Monstera,Fibrous / Aerial roots,Moderate,Moderate (30-60 cm),Wide (60-120 cm),White root tips visible at node within 14-21 days in water,New leaf unfurling from cutting,Resistance felt when gently tugging the cutting,White healthy roots 3-8 cm long; new leaf unfurling,Stem turning black/mushy at cut end; node becoming soft and discolored,Moderate,Moderate,Aerial roots at nodes contain pre-formed root initials making them root faster; cuttings without a node will never root regardless of time
3,Rubber Plant,Fibrous,Slow to Moderate,Moderate to Deep (40-80 cm),Moderate (60-100 cm),Small white root nubs visible at cut end or node after 3-4 weeks,New bud or leaf emerging from cutting,Resistance felt when gently tugging the cutting,White or cream colored roots 2-5 cm long; new bud swelling,Stem turning black/brown at cut end; leaves yellowing and dropping; mushy stem base,Moderate to High,Moderate,Milky latex sap from cut end should be allowed to dry for 1-2 hours before planting to prevent rot; bottom heat (25-28°C) significantly improves rooting speed
4,Dieffenbachia,Fibrous / Adventitious,Moderate,Shallow to Moderate (20-50 cm),Moderate (30-60 cm),White root nubs visible at node within 14-21 days,New bud or shoot emerging from cane node,Resistance felt when gently tugging the cutting,White healthy roots visible; new shoot or bud emerging from node,Cane turning soft and mushy; foul smell from rooting medium; no bud emergence after 6 weeks,High,Moderate,Even bare leafless cane sections will sprout roots and shoots from nodes if kept moist and warm; always wear gloves when handling as sap causes skin and oral irritation
5,Aglaonema,Fibrous,Moderate,Shallow to Moderate (20-40 cm),Moderate (30-60 cm),White root nubs visible at stem base within 14-21 days,New leaf emerging from cutting,Resistance felt when gently tugging the cutting,White healthy roots 2-5 cm long; new leaf emerging,Stem turning brown/black at cut end; leaves yellowing and wilting; mushy base,Moderate to High,Moderate,Division is the most reliable rooting method as offsets already have established roots; stem cuttings root best with bottom heat and high humidity
6,Syngonium,Fibrous / Aerial roots,Fast,Shallow (15-35 cm),Moderate (30-60 cm),White root nubs visible at nodes within 7-14 days in water,New leaf emerging from cutting,Resistance felt when gently tugging the cutting,White healthy roots 2-5 cm long visible; new leaf emerging,Stem turning brown/black at cut end; leaves yellowing and dropping,Moderate,Moderate,Aerial roots at nodes speed up rooting significantly; one of the easiest plants to root in water
7,Rose,Fibrous with woody lateral roots,Slow to Moderate,Moderate to Deep (50-100 cm),Wide (60-120 cm),White root tips visible at cut end or node after 3-5 weeks,New bud or leaf emerging from cutting,Resistance felt when gently tugging the cutting,White/cream fibrous roots 2-5 cm long; new bud swelling and leaf emerging,Stem turning black/brown; leaves dropping completely; cutting shriveling,Moderate,High,Bottom heat (22-25°C) and high humidity dome significantly improve rooting; hardwood cuttings taken in autumn root more reliably than softwood summer cuttings
8,Hibiscus,Fibrous with woody lateral roots,Moderate,Moderate (40-80 cm),Wide (60-120 cm),White root tips visible at cut end after 3-4 weeks,New bud or leaf emerging from cutting,Resistance felt when gently tugging the cutting,White healthy roots 2-5 cm long; new leaf bud swelling,Stem turning black at base; leaves dropping; stem shriveling,Moderate,Moderate,Semi-hardwood cuttings (firm but not fully woody) root more reliably than soft tip cuttings; keeping humidity high around cutting while avoiding waterlogged medium is key
9,Mogra,Fibrous with woody lateral roots,Moderate,Moderate (30-60 cm),Moderate (40-80 cm),White root tips visible at cut end after 3-4 weeks,New leaf bud swelling and emerging,Resistance felt when gently tugging the cutting,White healthy roots 2-5 cm long; new leaves emerging,Stem turning black at base; leaves dropping; cutting shriveling and drying out,Moderate,Moderate,Semi-hardwood cuttings with 2-3 nodes root best; keeping high humidity around cutting using a plastic bag or dome improves success significantly
10,Croton,Fibrous,Slow,Moderate (30-60 cm),Moderate (40-80 cm),White root tips visible at cut end after 4-6 weeks,New bud or leaf emerging from cutting,Resistance felt when gently tugging the cutting,White healthy roots 2-5 cm long; new bud emerging; leaves remaining firm and colorful,Stem turning black/brown at base; leaves dropping; milky sap oozing from rotting stem,High,Moderate,Milky sap from cut end should be allowed to dry for 1-2 hours before planting; Croton is prone to transplant shock and leaf drop even when rooting is successful; humidity dome recommended
